Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570096079.441299,1.000000,1.000000,2.028357,0.063702,0.061172,0.002530
3570096079.451299,1.000000,1.000000,2.028977,0.064328,0.061744,0.002584
3570096079.461299,1.000000,1.000000,2.029603,0.064953,0.062316,0.002637
3570096079.471299,1.000000,1.000000,2.030235,0.065577,0.062887,0.002690
3570096079.481300,1.000000,1.000000,2.030872,0.066200,0.063458,0.002742
3570096079.491301,1.000000,1.000000,2.031515,0.066823,0.064029,0.002793
3570096079.501302,1.000000,1.000000,2.032164,0.067445,0.064600,0.002844
3570096079.511301,1.000000,1.000000,2.032819,0.068066,0.065171,0.002895
3570096079.521301,1.000000,1.000000,2.033479,0.068686,0.065741,0.002945
3570096079.531302,1.000000,1.000000,2.034145,0.069306,0.066311,0.002995
3570096079.541303,1.000000,1.000000,2.034817,0.069924,0.066881,0.003044
3570096079.551302,1.000000,1.000000,2.035494,0.070543,0.067450,0.003092
3570096079.561303,1.000000,1.000000,2.036177,0.071160,0.068020,0.003140
3570096079.571302,1.000000,1.000000,2.036866,0.071777,0.068589,0.003188
3570096079.581303,1.000000,1.000000,2.037560,0.072393,0.069158,0.003235
3570096079.591303,1.000000,1.000000,2.038260,0.073008,0.069727,0.003281
3570096079.601304,1.000000,1.000000,2.038966,0.073622,0.070295,0.003327
3570096079.611306,1.000000,1.000000,2.039678,0.074236,0.070864,0.003373
3570096079.621304,1.000000,1.000000,2.040395,0.074849,0.071432,0.003418
3570096079.631304,1.000000,1.000000,2.041118,0.075462,0.072000,0.003462
3570096079.641306,1.000000,1.000000,2.041846,0.076074,0.072567,0.003506
3570096079.651305,1.000000,1.000000,2.042580,0.076685,0.073135,0.003550
3570096079.661305,1.000000,1.000000,2.043320,0.077295,0.073702,0.003593
3570096079.671308,1.000000,1.000000,2.044066,0.077905,0.074269,0.003636
3570096079.681308,1.000000,1.000000,2.044817,0.078514,0.074835,0.003678
3570096079.691307,1.000000,1.000000,2.045574,0.079122,0.075402,0.003720
3570096079.701309,1.000000,1.000000,2.046336,0.079730,0.075968,0.003762
3570096079.711308,1.000000,1.000000,2.047105,0.080337,0.076534,0.003803
3570096079.721307,1.000000,1.000000,2.047878,0.080943,0.077100,0.003843
3570096079.731309,1.000000,1.000000,2.048658,0.081549,0.077666,0.003883
3570096079.741309,1.000000,1.000000,2.049443,0.082154,0.078231,0.003923
