Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570099117.811155,1.000000,2.000000,0.040828,0.072186,0.068110,0.004076
3570099117.821160,1.000000,2.000000,0.041517,0.072763,0.068679,0.004084
3570099117.831160,1.000000,2.000000,0.042212,0.073339,0.069248,0.004091
3570099117.841160,1.000000,2.000000,0.042913,0.073915,0.069817,0.004099
3570099117.851160,1.000000,2.000000,0.043620,0.074491,0.070385,0.004106
3570099117.861161,1.000000,2.000000,0.044333,0.075067,0.070954,0.004113
3570099117.871161,1.000000,2.000000,0.045051,0.075642,0.071522,0.004120
3570099117.881161,1.000000,2.000000,0.045774,0.076217,0.072090,0.004128
3570099117.891161,1.000000,2.000000,0.046504,0.076792,0.072657,0.004135
3570099117.901163,1.000000,2.000000,0.047239,0.077366,0.073224,0.004142
3570099117.911158,1.000000,2.000000,0.047980,0.077940,0.073792,0.004149
3570099117.921163,1.000000,2.000000,0.048726,0.078514,0.074359,0.004156
3570099117.931163,1.000000,2.000000,0.049478,0.079088,0.074925,0.004162
3570099117.941164,1.000000,2.000000,0.050236,0.079661,0.075492,0.004169
3570099117.951164,1.000000,2.000000,0.050999,0.080234,0.076058,0.004176
3570099117.961165,1.000000,2.000000,0.051768,0.080807,0.076624,0.004183
3570099117.971164,1.000000,2.000000,0.052543,0.081379,0.077190,0.004189
3570099117.981163,1.000000,2.000000,0.053323,0.081951,0.077755,0.004196
3570099117.991165,1.000000,2.000000,0.054109,0.082523,0.078321,0.004203
3570099118.001165,1.000000,2.000000,0.054901,0.083095,0.078886,0.004209
3570099118.011163,1.000000,2.000000,0.055698,0.083666,0.079451,0.004216
3570099118.021166,1.000000,2.000000,0.056501,0.084237,0.080015,0.004222
3570099118.031166,1.000000,2.000000,0.057310,0.084808,0.080580,0.004228
3570099118.041166,1.000000,2.000000,0.058124,0.085379,0.081144,0.004235
3570099118.051167,1.000000,2.000000,0.058944,0.085949,0.081708,0.004241
3570099118.061167,1.000000,2.000000,0.059770,0.086519,0.082272,0.004247
3570099118.071167,1.000000,2.000000,0.060601,0.087089,0.082835,0.004253
3570099118.081169,1.000000,2.000000,0.061438,0.087658,0.083399,0.004259
3570099118.091168,1.000000,2.000000,0.062280,0.088227,0.083962,0.004266
3570099118.101170,1.000000,2.000000,0.063128,0.088796,0.084524,0.004272
3570099118.111166,1.000000,2.000000,0.063982,0.089365,0.085087,0.004278
3570099118.121170,1.000000,2.000000,0.064841,0.089933,0.085649,0.004284
3570099118.131171,1.000000,2.000000,0.065706,0.090501,0.086212,0.004290
3570099118.141170,1.000000,2.000000,0.066577,0.091069,0.086774,0.004295
3570099118.151171,1.000000,2.000000,0.067453,0.091637,0.087335,0.004301
3570099118.161170,1.000000,2.000000,0.068335,0.092204,0.087897,0.004307
3570099118.171171,1.000000,2.000000,0.069222,0.092771,0.088458,0.004313
3570099118.181170,1.000000,2.000000,0.070115,0.093338,0.089019,0.004319
3570099118.191174,1.000000,2.000000,0.071014,0.093904,0.089580,0.004324
3570099118.201173,1.000000,2.000000,0.071918,0.094471,0.090141,0.004330
3570099118.211169,1.000000,2.000000,0.072828,0.095037,0.090701,0.004336
3570099118.221172,1.000000,2.000000,0.073743,0.095602,0.091261,0.004341
3570099118.231173,1.000000,2.000000,0.074664,0.096168,0.091821,0.004347
3570099118.241174,1.000000,2.000000,0.075591,0.096733,0.092381,0.004352
3570099118.251174,1.000000,2.000000,0.076523,0.097298,0.092940,0.004358
3570099118.261176,1.000000,2.000000,0.077461,0.097863,0.093499,0.004364
3570099118.271173,1.000000,2.000000,0.078404,0.098427,0.094058,0.004369
3570099118.281174,1.000000,2.000000,0.079353,0.098991,0.094617,0.004374
3570099118.291174,1.000000,2.000000,0.080308,0.099555,0.095175,0.004380
3570099118.301176,1.000000,2.000000,0.081268,0.100119,0.095734,0.004385
3570099118.311172,1.000000,2.000000,0.082233,0.100682,0.096292,0.004391
3570099118.321176,1.000000,2.000000,0.083205,0.101245,0.096850,0.004396
3570099118.331176,1.000000,2.000000,0.084181,0.101808,0.097407,0.004401
3570099118.341177,1.000000,2.000000,0.085164,0.102371,0.097965,0.004406
3570099118.351177,1.000000,2.000000,0.086152,0.102933,0.098522,0.004412
3570099118.361178,1.000000,2.000000,0.087145,0.103495,0.099079,0.004417
3570099118.371178,1.000000,2.000000,0.088145,0.104057,0.099635,0.004422
3570099118.381179,1.000000,2.000000,0.089149,0.104619,0.100192,0.004427
3570099118.391178,1.000000,2.000000,0.090160,0.105180,0.100748,0.004432
3570099118.401178,1.000000,2.000000,0.091175,0.105741,0.101304,0.004437
3570099118.411175,1.000000,2.000000,0.092197,0.106302,0.101860,0.004443
3570099118.421180,1.000000,2.000000,0.093224,0.106863,0.102415,0.004448
3570099118.431180,1.000000,2.000000,0.094256,0.107423,0.102970,0.004453
3570099118.441181,1.000000,2.000000,0.095294,0.107983,0.103526,0.004458
3570099118.451180,1.000000,2.000000,0.096338,0.108543,0.104080,0.004463
3570099118.461182,1.000000,2.000000,0.097387,0.109103,0.104635,0.004468
3570099118.471179,1.000000,2.000000,0.098442,0.109662,0.105189,0.004473
3570099118.481180,1.000000,2.000000,0.099502,0.110221,0.105743,0.004478
3570099118.491183,1.000000,2.000000,0.100568,0.110780,0.106297,0.004482
3570099118.501183,1.000000,2.000000,0.101639,0.111338,0.106851,0.004487
