Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat,lost
3572009596.682624,-0.000345,-0.004860,-0.021025,-0.002783,0.020944,-0.000421,1.000000
3572009596.692623,0.048718,-0.004728,-0.079828,-0.003327,-0.029864,0.000204,1.000000
3572009596.702623,0.049822,-0.003151,0.000865,-0.005594,-0.031311,-0.000691,1.000000
3572009596.712624,0.038012,-0.001586,0.026605,-0.005410,0.026053,-0.001605,1.000000
3572009596.722624,-0.061188,-0.000416,-0.062140,-0.004470,-0.041430,-0.000798,1.000000
3572009596.732625,0.031435,-0.002213,0.000080,-0.006180,0.048156,-0.002009,1.000000
3572009596.742625,-0.005131,-0.001219,-0.032973,-0.006002,0.030748,-0.000536,1.000000
3572009596.752625,0.038757,-0.001335,-0.044011,-0.006806,0.038229,0.000384,1.000000
3572009596.762625,0.016321,-0.000150,0.017832,-0.007913,0.018675,0.001501,1.000000
3572009596.772626,0.025461,0.000337,-0.019358,-0.007159,0.025572,0.002011,1.000000
3572009596.782626,-0.017644,0.001080,0.034383,-0.007528,-0.046142,0.002712,1.000000
3572009596.792626,-0.054340,0.000527,-0.010390,-0.006296,-0.060562,0.001271,1.000000
3572009596.802627,-0.021516,-0.001095,-0.005816,-0.006424,-0.018394,-0.000560,1.000000
3572009596.812628,0.021937,-0.001699,0.019046,-0.006413,0.016728,-0.001094,1.000000
3572009596.822628,0.001636,-0.001001,-0.030021,-0.005668,0.009732,-0.000575,1.000000
3572009596.832629,-0.037192,-0.000924,0.003877,-0.006394,-0.035088,-0.000277,1.000000
3572009596.842628,0.023731,-0.001996,-0.025519,-0.006097,0.033504,-0.001313,1.000000
3572009596.852628,0.002284,-0.001237,0.023925,-0.006678,0.079336,-0.000291,1.000000
3572009596.862631,0.040723,-0.001132,0.047518,-0.005780,-0.001304,0.002061,1.000000
3572009596.872630,-0.024385,0.000104,0.005371,-0.004212,-0.005212,0.001965,1.000000
3572009596.882629,0.045782,-0.000619,0.031052,-0.003935,0.009606,0.001755,1.000000
3572009596.892631,-0.005757,0.000752,0.052189,-0.002906,0.016704,0.001990,1.000000
3572009596.902630,-0.026181,0.000560,0.015574,-0.001283,0.000696,0.002428,1.000000
3572009596.912631,-0.008912,-0.000230,-0.009812,-0.000789,0.025318,0.002381,1.000000
3572009596.922633,-0.020140,-0.000486,0.002723,-0.001059,-0.007473,0.003064,1.000000
3572009596.932631,0.063885,-0.001067,0.024042,-0.000950,0.026496,0.002757,1.000000
3572009596.942633,-0.054093,0.000853,0.024746,-0.000213,-0.041156,0.003465,1.000000
3572009596.952632,-0.002695,-0.000769,-0.006474,0.000524,0.004548,0.002150,1.000000
3572009596.962632,0.015699,-0.000825,0.006903,0.000319,0.013165,0.002222,1.000000
3572009596.972633,0.011958,-0.000334,-0.039234,0.000516,0.014171,0.002547,1.000000
3572009596.982634,0.007016,0.000033,-0.004269,-0.000655,-0.070619,0.002893,1.000000
3572009596.992633,-0.044658,0.000244,-0.057355,-0.000756,0.017692,0.000719,1.000000
3572009597.002634,-0.042699,-0.001078,0.010980,-0.002422,0.017737,0.001215,1.000000
3572009597.012634,-0.014032,-0.002302,0.031898,-0.002017,0.032008,0.001700,1.000000
3572009597.022635,-0.019741,-0.002643,0.019683,-0.001003,0.007964,0.002594,1.000000
3572009597.032634,-0.028413,-0.003140,-0.015211,-0.000378,-0.060953,0.002752,1.000000
3572009597.042636,-0.037507,-0.003876,0.026663,-0.000800,0.041753,0.000864,1.000000
3572009597.052635,-0.015391,-0.004860,0.010119,0.000032,-0.010680,0.002066,1.000000
3572009597.062635,-0.002395,-0.005159,0.014729,0.000354,0.010542,0.001683,1.000000
3572009597.072636,0.047415,-0.005063,0.003968,0.000805,0.018236,0.001937,1.000000
3572009597.082634,0.051109,-0.003496,0.015757,0.000930,-0.012603,0.002412,1.000000
3572009597.092637,-0.014223,-0.001863,-0.026231,0.001402,-0.038988,0.001960,1.000000
3572009597.102636,-0.026254,-0.002204,0.005049,0.000622,0.012946,0.000738,1.000000
3572009597.112638,0.025830,-0.002891,-0.015850,0.000795,-0.000154,0.001083,1.000000
3572009597.122639,0.003363,-0.002015,-0.015436,0.000350,0.049467,0.001031,1.000000
3572009597.132638,0.009602,-0.001829,-0.058531,-0.000065,0.059978,0.002449,1.000000
3572009597.142638,0.008306,-0.001461,0.050856,-0.001735,-0.013630,0.004139,1.000000
3572009597.152639,0.000190,-0.001136,-0.007211,-0.000121,0.002898,0.003605,1.000000
3572009597.162640,0.015906,-0.001058,0.016650,-0.000263,0.016148,0.003572,1.000000
3572009597.172640,-0.015868,-0.000515,-0.000193,0.000310,-0.015066,0.003931,1.000000
3572009597.182639,-0.066407,-0.000922,-0.041023,0.000374,0.020622,0.003355,1.000000
3572009597.192639,0.027313,-0.002810,0.023736,-0.000762,-0.004280,0.003848,1.000000
3572009597.202640,0.023674,-0.001868,-0.004422,0.000055,-0.041290,0.003590,1.000000
3572009597.212640,-0.002138,-0.001052,0.016425,0.000020,-0.019764,0.002240,1.000000
3572009597.222641,0.024963,-0.001021,0.034265,0.000610,0.010147,0.001561,1.000000
3572009597.232643,0.009678,-0.000189,-0.014922,0.001719,-0.021848,0.001783,1.000000
3572009597.242642,-0.022503,0.000177,0.022236,0.001347,0.015384,0.001051,1.000000
3572009597.252642,0.003112,-0.000419,-0.030405,0.002093,-0.021489,0.001438,1.000000
3572009597.262643,0.000211,-0.000230,-0.009787,0.001265,0.032551,0.000722,1.000000
3572009597.272643,-0.004455,-0.000135,-0.043872,0.001082,-0.015170,0.001623,1.000000
3572009597.282644,0.036451,-0.000169,-0.008726,-0.000101,0.006939,0.001087,1.000000
3572009597.292644,0.010670,0.001010,-0.017080,-0.000201,-0.020982,0.001217,1.000000
3572009597.302644,-0.023136,0.001402,-0.013219,-0.000542,-0.018628,0.000516,1.000000
3572009597.312644,-0.044648,0.000788,0.018899,-0.000752,0.026310,-0.000098,1.000000
3572009597.322645,0.011394,-0.000447,-0.003547,0.000006,-0.030159,0.000632,1.000000
3572009597.332644,-0.011576,0.000027,-0.010036,0.000078,0.045527,-0.000330,1.000000
3572009597.342646,0.039655,-0.000202,0.001703,-0.000028,0.022688,0.000973,1.000000
3572009597.352646,0.032603,0.001100,0.017652,0.000220,-0.032152,0.001564,1.000000
