Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296718.441295,4.540737,4.457813,1.818399,1.773557,-1.391028,-1.342549
3571296718.451294,4.539148,4.461926,1.616744,1.777961,-1.341543,-1.345051
3571296718.461294,4.441653,4.465651,1.652231,1.772316,-1.379917,-1.345023
3571296718.471295,4.426325,4.464525,1.758631,1.768676,-1.286639,-1.346870
3571296718.481295,4.460498,4.462498,1.689935,1.770398,-1.265552,-1.344076
3571296718.491296,4.459569,4.462188,1.700437,1.768682,-1.461315,-1.340379
3571296718.501292,4.497088,4.462281,1.796363,1.767561,-1.376167,-1.346414
3571296718.511296,4.407865,4.464010,1.671342,1.771185,-1.374742,-1.348014
3571296718.521296,4.419673,4.461300,1.609797,1.768536,-1.273425,-1.349472
3571296718.531297,4.496002,4.459071,1.777669,1.763005,-1.398752,-1.345912
3571296718.541297,4.403913,4.460950,1.642207,1.765939,-1.367542,-1.348637
3571296718.551298,4.544563,4.458176,1.731021,1.762125,-1.281910,-1.349713
3571296718.561298,4.380249,4.462206,1.709653,1.762821,-1.348989,-1.346557
3571296718.571297,4.418012,4.458174,1.760495,1.762449,-1.427384,-1.346821
3571296718.581298,4.424350,4.456353,1.773332,1.764572,-1.403344,-1.350902
3571296718.591299,4.494678,4.454875,1.705408,1.767222,-1.278399,-1.353623
3571296718.601295,4.505300,4.456620,1.784154,1.766424,-1.302166,-1.350115
3571296718.611298,4.527252,4.458851,1.715245,1.769510,-1.314613,-1.347928
3571296718.621299,4.464462,4.462072,1.703643,1.769088,-1.313258,-1.346449
3571296718.631300,4.436217,4.462070,1.793467,1.768121,-1.314523,-1.344971
3571296718.641300,4.362536,4.460692,1.654633,1.771583,-1.433176,-1.343622
3571296718.651299,4.466644,4.456050,1.757478,1.768104,-1.307183,-1.348130
3571296718.661299,4.546022,4.456430,1.694850,1.769812,-1.286743,-1.346278
3571296718.671299,4.478909,4.460617,1.777649,1.768379,-1.374543,-1.343511
3571296718.681301,4.501454,4.461522,1.682141,1.771062,-1.337439,-1.345160
3571296718.691301,4.497201,4.463400,1.728691,1.768957,-1.404955,-1.344922
3571296718.701297,4.407853,4.465129,1.781792,1.769224,-1.425689,-1.347992
3571296718.711302,4.402821,4.462462,1.790212,1.772067,-1.207200,-1.351936
3571296718.721301,4.544548,4.459191,1.738855,1.775158,-1.350630,-1.345025
3571296718.731301,4.431549,4.463310,1.798090,1.775625,-1.348337,-1.345436
3571296718.741303,4.456126,4.461712,1.723953,1.778958,-1.356393,-1.345717
3571296718.751301,4.556384,4.461407,1.672031,1.778515,-1.330978,-1.346378
3571296718.761303,4.416828,4.465949,1.807059,1.775560,-1.379140,-1.345767
3571296718.771302,4.478456,4.463572,1.654326,1.779337,-1.351794,-1.347537
3571296718.781303,4.509871,4.464253,1.831761,1.775481,-1.328892,-1.347890
3571296718.791303,4.575078,4.466382,1.726190,1.780466,-1.299920,-1.347108
3571296718.801300,4.550347,4.471523,1.666593,1.780056,-1.363649,-1.344947
3571296718.811305,4.540317,4.475351,1.683663,1.776766,-1.444319,-1.345998
3571296718.821304,4.461656,4.478684,1.684254,1.774462,-1.388380,-1.350942
3571296718.831304,4.400536,4.477894,1.650186,1.772305,-1.262618,-1.352929
3571296718.841305,4.565058,4.473878,1.736534,1.768578,-1.407446,-1.348680
3571296718.851305,4.559652,4.478404,1.733353,1.769257,-1.320716,-1.351699
3571296718.861305,4.436677,4.482253,1.680653,1.769746,-1.390071,-1.350345
3571296718.871304,4.551169,4.480072,1.787353,1.767644,-1.385370,-1.352440
